Group,Type,Sentence,Question,Answer
B_exp_list1,filler56,The thieves stole the jewels but left everything else untouched.,Did the thieves steal everything?,"No
"
B_exp_list1,filler13,The dog was confined to the living room while the vacuum was running.,Was the dog confined to the bedroom? ,"No
"
B_exp_list1,filler5,The kindergartner bade good bye to her mother and ran to her friends.,Did the kindergartner bid good bye to her father?,"No
"
B_exp_list1,RRC11,The six volunteers taught the complicated procedure learned it very well.,Was the procedure simple?,"No
"
B_exp_list1,URC1,The tired teacher who was brought the ungraded assignments was not looking forward to grading them.,Was the teacher excited to grade the papers?,"No
"
B_exp_list1,filler50,The children shrank back from the clown in revulsion.,Did the children like the clown?,"No
"
B_exp_list1,RRC9,The experienced soldiers asked about the dangers conducted the midnight raid.,Was there a raid?,"Yes
"
B_exp_list1,filler59,The rabbit hopped across the street without getting hit by a car.,Did the rabbit make it to the other side safely?,"Yes
"
B_exp_list1,RRC8,The experienced waitress cooked the grilled chicken sent her food back.,Was the chicken fried?,"No
"
B_exp_list1,RRC36,The young clerk handed the long report filed it right away.,Did the clerk take a long time to file the report?,"No
"
B_exp_list1,URC6,The hospital patient who was bathed in his room read the newspaper constantly.,Did the patient like to read?,"Yes
"
B_exp_list1,RRC33,The ferocious lions attacked during the day were unable to escape the hunters.,Did the hunters catch the lions?,"Yes
"
B_exp_list1,URC26,The young children who were stopped in the hallway were following the adults.,Were the children following someone?,"Yes
"
B_exp_list1,filler35,The celebrity redid her makeup before going on stage.,Did the celebrity redo her makeup after going on stage?,"No
"
B_exp_list1,filler6,The arrogant man added the woman's contact information to his phone.,Did the man get the woman's phone number?,"Yes
"
B_exp_list1,filler55,The chairman spoke for half an hour at the meeting.,Did the chairman speak for 45 minutes?,"No
"
B_exp_list1,filler40,The clever siblings knew the best strategies to stay out of trouble.,Were the siblings foolish?,"No
"
B_exp_list1,URC24,The talented musician who was played the beautiful song applauded in delight.,Did the musician like the song>,"Yes
"
B_exp_list1,URC28,The competent administrator who was delivered the message made the necessary arrangements.,Was the administrator well-prepared?,"Yes
"
B_exp_list1,RRC15,The hippie children rinsed in the river were later taken berry-picking.,Were the children rinsed in a pond?,"No
"
B_exp_list1,RRC2,The itchy cat scratched behind its ears purred loudly and happily in satisfaction.,Was the cat pleased?,"Yes
"
B_exp_list1,filler21,Foreigners unfailingly fall in love with the place.,Did foreigners like the place?,"Yes
"
B_exp_list1,filler24,The jogger inhaled deeply in an attempt to regain his breath.,Was the jogger out of breath?,"Yes
"
B_exp_list1,URC18,The helpful librarian who was lent the frayed book took good care of it.,Was the book in good condition?,"No
"
B_exp_list1,RRC22,The comical teenager sent the curious package was excited to open it.,Was the teenager eager to open the package?,"Yes
"
B_exp_list1,filler28,The doctor mistook the symptoms for food poisoning.,Did the patient have food poisoning? ,"No
"
B_exp_list1,filler17,The student pretended to be sick until their mother left the room.,Was the student really sick?,"No
"
B_exp_list1,RRC25,The little girl sat on the couch fell down and started crying.,Did the girl remain on the couch?,"No
"
B_exp_list1,filler7,The excited toddler blew out all the candles and wished for a pony.,Did the toddler want a pony?,"Yes
"
B_exp_list1,URC35,The ailing mother who was prepared a hot meal ate it gratefully before going to bed.,Was the mother in good health?,"No
"
B_exp_list2,filler62,The teenagers swore to be best friends forever.,Did the teenagers think that they were going to continue being good friends?,"Yes
"
B_exp_list2,filler51,"Judy sank into the luxurious seat, enjoying the smell of leather.",Was the seat made of leather? ,"Yes
"
B_exp_list2,RRC10,My generous friend paid for the tickets bought popcorn for everyone.,Was the friend uncharitable?,"No
"
B_exp_list2,RRC21,The blue pen rested on the desk wound up getting stolen.,Was the pen blue?,"Yes
"
B_exp_list2,filler20,The hungry dog ate all of the food in the bowl.,Was there any food left in the bowl?,"No
"
B_exp_list2,RRC30,The poker player dealt the cards was frustrated with his bad hand.,Was the player happy with the cards he got?,"No
"
B_exp_list2,RRC12,The sly merchant sold the faulty devices was angry with himself for not noticing.,Were the devices defective?,"Yes
"
B_exp_list2,filler47,The energetic cat batted at the dust specks floating in the air.,Was the cat lazy?,"No
"
B_exp_list2,filler30,The gardener mowed the wide lawns and seeded them.,Were the lawns large?,"Yes
"
B_exp_list2,RRC23,The yellow frisbee dangled from the roof landed in the ditch.,Did the frisbee stay on the roof?,"No
"
B_exp_list2,RRC17,The excited toddler built the lego house played with it all day.,Did the toddler like the lego house?,"Yes
"
B_exp_list2,filler4,John became more frustrated with each passing minute.,Did John get less frustrated over time?,"No
"
B_exp_list2,RRC5,The frazzled mother cut a cake slice sat down and ate it gratefully.,Was the mother exhausted?,"Yes
"
B_exp_list2,filler63,The fish swam all around Jane and nipped at her legs.,Did the fish avoid Jane?,"No
"
B_exp_list2,filler25,The new manager undid most of the good work of his predecessor.,Did the previous manager do good work?,"Yes
"
B_exp_list2,filler49,The strict instructor confiscated the students' cell phones before class.,Was the instructor lenient?,"No
"
B_exp_list2,RRC34,The energetic kid kicked the ball caught it with one hand.,Was the kid lethargic?,"No
"
B_exp_list2,filler37,The basketball player's ankle swelled as he limped off the court.,Was the player injured?,"Yes
"
B_exp_list2,RRC7,The international student left the warm jacket was grateful for it in the winter.,Was the winter cold?,"Yes
"
B_exp_list2,RRC16,The evil genie served the golden figs went into a trance.,Did the genie eat the figs?,"Yes
"
B_exp_list2,filler34,The woman eagerly waited to hear back from the dance company.,Was the woman looking forward to hearing some news?,"Yes
"
B_exp_list2,RRC32,The nervous wrestler hurried through the stands hadn't seen his opponent.,Did the wrestler know his opponent?,"No
"
B_exp_list2,filler23,"Even though Joanna flew directly to Boston on Friday, she still missed the conference.",Was Joanna able to attend the conference?,"No
"
B_exp_list2,RRC20,The angry workers warned about low wages decided to file complaints.,Were the workers happy with their wages?,"No
"
B_exp_list2,filler31,The babysitter ran frantically after the misbehaving children in the park.,Were the children well behaved?,"No
"
B_exp_list2,RRC3,The frightened kid moved through the crowd got separated from Jane.,Was the kid scared?,"Yes
"
B_exp_list2,RRC37,The rescue workers advised about the avalanche decided to stand by regardless.,Did the rescue workers know about the avalanche?,"Yes
"
B_exp_list2,RRC29,The little boy fed the rice crackers looked like he wanted to eat something else.,Did the boy want to eat the crackers?,"Yes
"
B_exp_list2,filler64,Lily trod on a lot of toes when she joined the company.,Did Lily upset people when she joined the company?,Yes
B_exp_list2,filler57,The secret society framed a local man for all of their crimes.,Was the man guilty?,"No
"
B_exp_list2,filler16,Peter did all the dishes before putting his children to bed.,Did Peter do the dishes after putting the children bed?,"No
"
B_exp_list2,RRC31,The young kid undressed in a hurry got ready to go to school.,Was the kid going to his friend's house?,"No
"
B_exp_list2,RRC27,The bearded man shaved two weeks ago liked his stylish new look.,Was the man disappointed with his new look?,"No
"
B_exp_list2,filler58,The disappointed teacher graded the final exams very harshly.,Did the teacher give lots of high grades?,"No
"
B_exp_list2,filler19,The two students exchanged notes until they were caught by the teacher.,Were the students caught by the teacher?,"Yes
"
B_exp_list2,filler14,Patrick woke up to find himself alone in the house.,Were there other people around when Patrick woke up?,"No
"
B_exp_list2,URC4,The excited girl who was bought the shiny toy played with it all day.,Did the girl like the toy?,"Yes
"
B_exp_list2,URC14,The playful teenager who was baked the pie refused to share it with the others.,Did the teenager want to share the pie?,"No
"
B_exp_list2,filler53,The family cheerfully decorated the house just in time for the holidays.,Did the family enjoy decorating the house?,"Yes
"
B_exp_list2,RRC19,The skilled player passed the soccer ball failed to score a goal.,Did the player get a point?,"No
"
B_exp_list2,filler43,The young boy sang a song that showcased his remarkable talent.,Was the boy talented?,"Yes
"
B_exp_list2,filler22,The sparkles on the celebrity's dress glittered under the harsh lighting.,Did the outfit have sparkles on it? ,"Yes
"
B_exp_list2,filler42,The seated boy rose up to answer the teacher's question on the chalkboard.,Did the boy get out of his seat?,"Yes
"
B_exp_list2,RRC13,The skeptical editor read the story agreed reluctantly that it was very good.,Did the editor expect to like the story?,"No
"
B_exp_list2,filler2,The ornate clock chimed loudly every time it struck a new hour.,Was the clock working?,"Yes
"
B_exp_list2,filler39,The crossing deer froze in fear as headlights approached them on the road.,Were the deer scared?,"Yes
"
B_exp_list2,RRC40,The avid reader suggested the unusual book enjoyed reading it very much.,Did the reader like the book?,Yes
B_exp_list2,filler15,The jogger accidentally crushed the flower underneath her foot.,Did the jogger intend to step on the flower?,"No
"
B_exp_list2,URC38,The sleepy volunteers who were offered the hot soup were glad to take a break to eat.,Were the volunteers happy to take a break?,"Yes
"
B_exp_list2,RRC39,The frail woman refused the treatment decided to try her luck elsewhere.,Did the woman stop looking for treatment?,"No
"
B_exp_list2,filler56,The thieves stole the jewels but left everything else untouched.,Did the thieves steal everything?,"No
"
B_exp_list2,filler13,The dog was confined to the living room while the vacuum was running.,Was the dog confined to the bedroom? ,"No
"
B_exp_list2,filler5,The kindergartner bade good bye to her mother and ran to her friends.,Did the kindergartner bid good bye to her father?,"No
"
B_exp_list2,URC11,The six volunteers who were taught the complicated procedure learned it very well.,Was the procedure simple?,"No
"
B_exp_list2,RRC1,The tired teacher brought the ungraded assignments was not looking forward to grading them.,Was the teacher excited to grade the papers?,"No
"
B_exp_list2,filler50,The children shrank back from the clown in revulsion.,Did the children like the clown?,"No
"
B_exp_list2,URC9,The experienced soldiers who were asked about the dangers conducted the midnight raid.,Was there a raid?,"Yes
"
B_exp_list2,filler59,The rabbit hopped across the street without getting hit by a car.,Did the rabbit make it to the other side safely?,"Yes
"
B_exp_list2,URC8,The experienced waitress who was cooked the grilled chicken sent her food back.,Was the chicken fried?,"No
"
B_exp_list2,URC36,The young clerk who was handed the long report filed it right away.,Did the clerk take a long time to file the report?,"No
"
B_exp_list2,RRC6,The hospital patient bathed in his room read the newspaper constantly.,Did the patient like to read?,"Yes
"
B_exp_list2,URC33,The ferocious lions that were attacked during the day were unable to escape the hunters.,Did the hunters catch the lions?,"Yes
"
B_exp_list2,RRC26,The young children stopped in the hallway were following the adults.,Were the children following someone?,"Yes
"
B_exp_list2,filler35,The celebrity redid her makeup before going on stage.,Did the celebrity redo her makeup after going on stage?,"No
"
B_exp_list2,filler6,The arrogant man added the woman's contact information to his phone.,Did the man get the woman's phone number?,"Yes
"
B_exp_list2,filler55,The chairman spoke for half an hour at the meeting.,Did the chairman speak for 45 minutes?,"No
"
B_exp_list2,filler40,The clever siblings knew the best strategies to stay out of trouble.,Were the siblings foolish?,"No
"
B_exp_list2,RRC24,The talented musician played the beautiful song applauded in delight.,Did the musician like the song>,"Yes
"
B_exp_list2,RRC28,The competent administrator delivered the message made the necessary arrangements.,Was the administrator well-prepared?,"Yes
"
B_exp_list2,URC15,The hippie children who were rinsed in the river were later taken berry-picking.,Were the children rinsed in a pond?,"No
"
B_exp_list2,URC2,The itchy cat that was scratched behind its ears purred loudly and happily in satisfaction.,Was the cat pleased?,"Yes
"
B_exp_list2,filler21,Foreigners unfailingly fall in love with the place.,Did foreigners like the place?,"Yes
"
B_exp_list2,filler24,The jogger inhaled deeply in an attempt to regain his breath.,Was the jogger out of breath?,"Yes
"
B_exp_list2,RRC18,The helpful librarian lent the frayed book took good care of it.,Was the book in good condition?,"No
"
B_exp_list2,URC22,The comical teenager who was sent the curious package was excited to open it.,Was the teenager eager to open the package?,"Yes
"
B_exp_list2,filler28,The doctor mistook the symptoms for food poisoning.,Did the patient have food poisoning? ,"No
"
B_exp_list2,filler17,The student pretended to be sick until their mother left the room.,Was the student really sick?,"No
"
B_exp_list2,URC25,The little girl who was sat on the couch fell down and started crying.,Did the girl remain on the couch?,"No
"
B_exp_list2,filler7,The excited toddler blew out all the candles and wished for a pony.,Did the toddler want a pony?,"Yes
"
B_exp_list2,RRC35,The ailing mother prepared a hot meal ate it gratefully before going to bed.,Was the mother in good health?,"No
"
C_control_list1,filler22,The sparkles on the celebrity's dress glittered under the harsh lighting.,Did the outfit have sparkles on it? ,"Yes
"
C_control_list1,filler42,The seated boy rose up to answer the teacher's question on the chalkboard.,Did the boy get out of his seat?,"Yes
"
C_control_list1,filler62,The teenagers swore to be best friends forever.,Did the teenagers think that they were going to continue being good friends?,"Yes
"
C_control_list1,filler51,"Judy sank into the luxurious seat, enjoying the smell of leather.",Was the seat made of leather? ,"Yes
"
C_control_list1,filler20,The hungry dog ate all of the food in the bowl.,Was there any food left in the bowl?,"No
"
C_control_list1,filler39,The crossing deer froze in fear as headlights approached them on the road.,Were the deer scared?,"Yes
"
C_control_list1,filler56,The thieves stole the jewels but left everything else untouched.,Did the thieves steal everything?,"No
"
C_control_list1,filler47,The energetic cat batted at the dust specks floating in the air.,Was the cat lazy?,"No
"
C_control_list1,filler30,The gardener mowed the wide lawns and seeded them.,Were the lawns large?,"Yes
"
C_control_list1,filler5,The kindergartner bade good bye to her mother and ran to her friends.,Did the kindergartner bid good bye to her father?,"No
"
C_control_list1,filler50,The children shrank back from the clown in revulsion.,Did the children like the clown?,"No
"
C_control_list1,filler4,John became more frustrated with each passing minute.,Did John get less frustrated over time?,"No
"
C_control_list1,filler35,The celebrity redid her makeup before going on stage.,Did the celebrity redo her makeup after going on stage?,"No
"
C_control_list1,filler63,The fish swam all around Jane and nipped at her legs.,Did the fish avoid Jane?,"No
"
C_control_list1,filler6,The arrogant man added the woman's contact information to his phone.,Did the man get the woman's phone number?,"Yes
"
C_control_list1,filler55,The chairman spoke for half an hour at the meeting.,Did the chairman speak for 45 minutes?,"No
"
C_control_list1,filler25,The new manager undid most of the good work of his predecessor.,Did the previous manager do good work?,"Yes
"
C_control_list1,filler49,The strict instructor confiscated the students' cell phones before class.,Was the instructor lenient?,"No
"
C_control_list1,filler17,The student pretended to be sick until their mother left the room.,Was the student really sick?,"No
"
C_control_list1,filler37,The basketball player's ankle swelled as he limped off the court.,Was the player injured?,"Yes
"
C_control_list1,filler19,The two students exchanged notes until they were caught by the teacher.,Were the students caught by the teacher?,"Yes
"
C_control_list1,filler34,The woman eagerly waited to hear back from the dance company.,Was the woman looking forward to hearing some news?,"Yes
"
C_control_list1,filler23,"Even though Joanna flew directly to Boston on Friday, she still missed the conference.",Was Joanna able to attend the conference?,"No
"
C_control_list1,filler14,Patrick woke up to find himself alone in the house.,Were there other people around when Patrick woke up?,"No
"
C_control_list1,filler31,The babysitter ran frantically after the misbehaving children in the park.,Were the children well behaved?,"No
"
C_control_list1,filler64,Lily trod on a lot of toes when she joined the company.,Did Lily upset people when she joined the company?,Yes
C_control_list1,filler28,The doctor mistook the symptoms for food poisoning.,Did the patient have food poisoning? ,"No
"
C_control_list1,filler57,The secret society framed a local man for all of their crimes.,Was the man guilty?,"No
"
C_control_list1,filler15,The jogger accidentally crushed the flower underneath her foot.,Did the jogger intend to step on the flower?,"No
"
C_control_list1,filler16,Peter did all the dishes before putting his children to bed.,Did Peter do the dishes after putting the children bed?,"No
"
C_control_list1,filler21,Foreigners unfailingly fall in love with the place.,Did foreigners like the place?,"Yes
"
C_control_list1,filler13,The dog was confined to the living room while the vacuum was running.,Was the dog confined to the bedroom? ,"No
"
C_control_list1,filler58,The disappointed teacher graded the final exams very harshly.,Did the teacher give lots of high grades?,"No
"
C_control_list1,filler38,The contestants each ate over ten hot dogs as part of a speed-eating competition.,Were over ten hot dogs eaten?,"Yes
"
C_control_list1,URC24,The talented musician who was played the beautiful song applauded in delight.,Did the musician like the song>,"Yes
"
C_control_list1,filler53,The family cheerfully decorated the house just in time for the holidays.,Did the family enjoy decorating the house?,"Yes
"
C_control_list1,RRC32,The nervous wrestler hurried through the stands hadn't seen his opponent.,Did the wrestler know his opponent?,"No
"
C_control_list1,RRC20,The angry workers warned about low wages decided to file complaints.,Were the workers happy with their wages?,"No
"
C_control_list1,filler11,The hiker was overcome by the heat and needed to rest for a few minutes.,Did the hiker need a break?,"Yes
"
C_control_list1,URC28,The competent administrator who was delivered the message made the necessary arrangements.,Was the administrator well-prepared?,"Yes
"
C_control_list1,filler43,The young boy sang a song that showcased his remarkable talent.,Was the boy talented?,"Yes
"
C_control_list1,URC18,The helpful librarian who was lent the frayed book took good care of it.,Was the book in good condition?,"No
"
C_control_list1,filler8,The girl apologized to her parents for having stayed out past curfew.,Was the girl caught staying out late?,"Yes
"
C_control_list1,RRC10,My generous friend paid for the tickets bought popcorn for everyone.,Was the friend uncharitable?,"No
"
C_control_list1,filler18,They drew lots to settle who should make dinner that day.,Did they draw lots to decide who should make lunch?,"No
"
C_control_list1,RRC21,The blue pen rested on the desk wound up getting stolen.,Was the pen blue?,"Yes
"
C_control_list1,filler27,Anita lay on the grass and looked up at the stars.,Was Anita outside? ,"Yes
"
C_control_list1,filler45,The impatient brother immediately took the toy away from his younger sister.,Did the brother like to share?,"No
"
C_control_list1,filler26,Maria went upstairs and changed into jeans and a fitted blouse.,Did Maria change into a dress?,"No
"
C_control_list1,filler46,The talented lawyer argued that his client had never been to the scene of the crime.,Was the lawyer talented?,"Yes
"
C_control_list1,RRC30,The poker player dealt the cards was frustrated with his bad hand.,Was the player happy with the cards he got?,"No
"
C_control_list1,URC35,The ailing mother who was prepared a hot meal ate it gratefully before going to bed.,Was the mother in good health?,"No
"
C_control_list1,RRC12,The sly merchant sold the faulty devices was angry with himself for not noticing.,Were the devices defective?,"Yes
"
C_control_list1,URC3,The frightened kid who was moved through the crowd got separated from Jane.,Was the kid scared?,"Yes
"
C_control_list1,filler44,The knight from the storybook slew a dragon to get into the castle.,Did the knight kill the dragon?,"Yes
"
C_control_list1,RRC23,The yellow frisbee dangled from the roof landed in the ditch.,Did the frisbee stay on the roof?,"No
"
C_control_list1,filler61,The students eagerly participated in the annual athletics festival.,Did the students want to participate?,"Yes
"
C_control_list1,filler1,The new student talked to all of her new classmates on the playground during recess.,Were there some classmates the new student did not talk to?,"No
"
C_control_list1,filler29,The singer practiced all day until she could hit the high notes every time.,Was the singer able to hit the high notes without practicing?,"No
"
C_control_list1,filler32,The friends studied together all day for an upcoming exam in their hardest class.,Did the friends study independently?,"No
"
C_control_list1,URC37,The rescue workers who were advised about the avalanche decided to stand by regardless.,Did the rescue workers know about the avalanche?,"Yes
"
C_control_list1,filler24,The jogger inhaled deeply in an attempt to regain his breath.,Was the jogger out of breath?,"Yes
"
C_control_list1,filler12,The spy came very quietly and secretly to escape the soldiers.,Did the spy make a lot of noise?,"No
"
C_control_list1,URC29,The little boy who was fed the rice crackers looked like he wanted to eat something else.,Did the boy want to eat the crackers?,"Yes
"
C_control_list1,RRC17,The excited toddler built the lego house played with it all day.,Did the toddler like the lego house?,"Yes
"
C_control_list1,URC31,The young kid who was undressed in a hurry got ready to go to school.,Was the kid going to his friend's house?,"No
"
C_control_list1,RRC5,The frazzled mother cut a cake slice sat down and ate it gratefully.,Was the mother exhausted?,"Yes
"
C_control_list1,URC27,The bearded man who was shaved two weeks ago liked his stylish new look.,Was the man disappointed with his new look?,"No
"
C_control_list1,filler33,When the driver eventually overtook the last truck he pulled over to the inside lane.,Did the driver overtake all the trucks?,"Yes
"
C_control_list1,filler3,A different kind of fire arose within Andrew as he thought about the new idea.,Was Andrew passionate about the idea?,"Yes
"
C_control_list1,URC19,The skilled player who was passed the soccer ball failed to score a goal.,Did the player get a point?,"No
"
C_control_list1,filler60,The businessman strode purposefully into the meeting.,Was the businessman determined?,"Yes
"
C_control_list1,filler10,The sound of music attracted a number of guests to the cafe.,Was the music coming from the cafe?,"Yes
"
C_control_list1,filler9,The married couple arose before dawn in order to prepare for the trip.,Did the couple wake up early?,"Yes
"
C_control_list1,RRC34,The energetic kid kicked the ball caught it with one hand.,Was the kid lethargic?,"No
"
C_control_list1,RRC7,The international student left the warm jacket was grateful for it in the winter.,Was the winter cold?,"Yes
"
C_control_list1,filler48,Adam's hand shook slightly as he inserted the key into the lock.,Was Adam's hand very stable?,"No
"
C_control_list1,URC13,The skeptical editor who was read the story agreed reluctantly that it was very good.,Did the editor expect to like the story?,"No
"
C_control_list1,URC40,The avid reader who was suggested the unusual book enjoyed reading it very much.,Did the reader like the book?,Yes
C_control_list1,RRC16,The evil genie served the golden figs went into a trance.,Did the genie eat the figs?,"Yes
"
C_control_list2,filler22,The sparkles on the celebrity's dress glittered under the harsh lighting.,Did the outfit have sparkles on it? ,"Yes
"
C_control_list2,filler42,The seated boy rose up to answer the teacher's question on the chalkboard.,Did the boy get out of his seat?,"Yes
"
C_control_list2,filler62,The teenagers swore to be best friends forever.,Did the teenagers think that they were going to continue being good friends?,"Yes
"
C_control_list2,filler51,"Judy sank into the luxurious seat, enjoying the smell of leather.",Was the seat made of leather? ,"Yes
"
C_control_list2,filler20,The hungry dog ate all of the food in the bowl.,Was there any food left in the bowl?,"No
"
C_control_list2,filler39,The crossing deer froze in fear as headlights approached them on the road.,Were the deer scared?,"Yes
"
C_control_list2,filler56,The thieves stole the jewels but left everything else untouched.,Did the thieves steal everything?,"No
"
C_control_list2,filler47,The energetic cat batted at the dust specks floating in the air.,Was the cat lazy?,"No
"
C_control_list2,filler30,The gardener mowed the wide lawns and seeded them.,Were the lawns large?,"Yes
"
C_control_list2,filler5,The kindergartner bade good bye to her mother and ran to her friends.,Did the kindergartner bid good bye to her father?,"No
"
C_control_list2,filler50,The children shrank back from the clown in revulsion.,Did the children like the clown?,"No
"
C_control_list2,filler4,John became more frustrated with each passing minute.,Did John get less frustrated over time?,"No
"
C_control_list2,filler35,The celebrity redid her makeup before going on stage.,Did the celebrity redo her makeup after going on stage?,"No
"
C_control_list2,filler63,The fish swam all around Jane and nipped at her legs.,Did the fish avoid Jane?,"No
"
C_control_list2,filler6,The arrogant man added the woman's contact information to his phone.,Did the man get the woman's phone number?,"Yes
"
C_control_list2,filler55,The chairman spoke for half an hour at the meeting.,Did the chairman speak for 45 minutes?,"No
"
C_control_list2,filler25,The new manager undid most of the good work of his predecessor.,Did the previous manager do good work?,"Yes
"
C_control_list2,filler49,The strict instructor confiscated the students' cell phones before class.,Was the instructor lenient?,"No
"
C_control_list2,filler17,The student pretended to be sick until their mother left the room.,Was the student really sick?,"No
"
C_control_list2,filler37,The basketball player's ankle swelled as he limped off the court.,Was the player injured?,"Yes
"
C_control_list2,filler19,The two students exchanged notes until they were caught by the teacher.,Were the students caught by the teacher?,"Yes
"
C_control_list2,filler34,The woman eagerly waited to hear back from the dance company.,Was the woman looking forward to hearing some news?,"Yes
"
C_control_list2,filler23,"Even though Joanna flew directly to Boston on Friday, she still missed the conference.",Was Joanna able to attend the conference?,"No
"
C_control_list2,filler14,Patrick woke up to find himself alone in the house.,Were there other people around when Patrick woke up?,"No
"
C_control_list2,filler31,The babysitter ran frantically after the misbehaving children in the park.,Were the children well behaved?,"No
"
C_control_list2,filler64,Lily trod on a lot of toes when she joined the company.,Did Lily upset people when she joined the company?,Yes
C_control_list2,filler28,The doctor mistook the symptoms for food poisoning.,Did the patient have food poisoning? ,"No
"
C_control_list2,filler57,The secret society framed a local man for all of their crimes.,Was the man guilty?,"No
"
C_control_list2,filler15,The jogger accidentally crushed the flower underneath her foot.,Did the jogger intend to step on the flower?,"No
"
C_control_list2,filler16,Peter did all the dishes before putting his children to bed.,Did Peter do the dishes after putting the children bed?,"No
"
C_control_list2,filler21,Foreigners unfailingly fall in love with the place.,Did foreigners like the place?,"Yes
"
C_control_list2,filler13,The dog was confined to the living room while the vacuum was running.,Was the dog confined to the bedroom? ,"No
"
C_control_list2,filler58,The disappointed teacher graded the final exams very harshly.,Did the teacher give lots of high grades?,"No
"
C_control_list2,filler38,The contestants each ate over ten hot dogs as part of a speed-eating competition.,Were over ten hot dogs eaten?,"Yes
"
C_control_list2,RRC24,The talented musician played the beautiful song applauded in delight.,Did the musician like the song>,"Yes
"
C_control_list2,filler53,The family cheerfully decorated the house just in time for the holidays.,Did the family enjoy decorating the house?,"Yes
"
C_control_list2,URC32,The nervous wrestler who was hurried through the stands hadn't seen his opponent.,Did the wrestler know his opponent?,"No
"
C_control_list2,URC20,The angry workers who were warned about low wages decided to file complaints.,Were the workers happy with their wages?,"No
"
C_control_list2,filler11,The hiker was overcome by the heat and needed to rest for a few minutes.,Did the hiker need a break?,"Yes
"
C_control_list2,RRC28,The competent administrator delivered the message made the necessary arrangements.,Was the administrator well-prepared?,"Yes
"
C_control_list2,filler43,The young boy sang a song that showcased his remarkable talent.,Was the boy talented?,"Yes
"
C_control_list2,RRC18,The helpful librarian lent the frayed book took good care of it.,Was the book in good condition?,"No
"
C_control_list2,filler8,The girl apologized to her parents for having stayed out past curfew.,Was the girl caught staying out late?,"Yes
"
C_control_list2,URC10,My generous friend who was paid for the tickets bought popcorn for everyone.,Was the friend uncharitable?,"No
"
C_control_list2,filler18,They drew lots to settle who should make dinner that day.,Did they draw lots to decide who should make lunch?,"No
"
C_control_list2,URC21,The blue pen that was rested on the desk wound up getting stolen.,Was the pen blue?,"Yes
"
C_control_list2,filler27,Anita lay on the grass and looked up at the stars.,Was Anita outside? ,"Yes
"
C_control_list2,filler45,The impatient brother immediately took the toy away from his younger sister.,Did the brother like to share?,"No
"
C_control_list2,filler26,Maria went upstairs and changed into jeans and a fitted blouse.,Did Maria change into a dress?,"No
"
C_control_list2,filler46,The talented lawyer argued that his client had never been to the scene of the crime.,Was the lawyer talented?,"Yes
"
C_control_list2,URC30,The poker player who was dealt the cards was frustrated with his bad hand.,Was the player happy with the cards he got?,"No
"
C_control_list2,RRC35,The ailing mother prepared a hot meal ate it gratefully before going to bed.,Was the mother in good health?,"No
"
C_control_list2,URC12,The sly merchant who was sold the faulty devices was angry with himself for not noticing.,Were the devices defective?,"Yes
"
C_control_list2,RRC3,The frightened kid moved through the crowd got separated from Jane.,Was the kid scared?,"Yes
"
C_control_list2,filler44,The knight from the storybook slew a dragon to get into the castle.,Did the knight kill the dragon?,"Yes
"
C_control_list2,URC23,The yellow frisbee that was dangled from the roof landed in the ditch.,Did the frisbee stay on the roof?,"No
"
C_control_list2,filler61,The students eagerly participated in the annual athletics festival.,Did the students want to participate?,"Yes
"
C_control_list2,filler1,The new student talked to all of her new classmates on the playground during recess.,Were there some classmates the new student did not talk to?,"No
"
C_control_list2,filler29,The singer practiced all day until she could hit the high notes every time.,Was the singer able to hit the high notes without practicing?,"No
"
C_control_list2,filler32,The friends studied together all day for an upcoming exam in their hardest class.,Did the friends study independently?,"No
"
C_control_list2,RRC37,The rescue workers advised about the avalanche decided to stand by regardless.,Did the rescue workers know about the avalanche?,"Yes
"
C_control_list2,filler24,The jogger inhaled deeply in an attempt to regain his breath.,Was the jogger out of breath?,"Yes
"
C_control_list2,filler12,The spy came very quietly and secretly to escape the soldiers.,Did the spy make a lot of noise?,"No
"
C_control_list2,RRC29,The little boy fed the rice crackers looked like he wanted to eat something else.,Did the boy want to eat the crackers?,"Yes
"
C_control_list2,URC17,The excited toddler who was built the lego house played with it all day.,Did the toddler like the lego house?,"Yes
"
C_control_list2,RRC31,The young kid undressed in a hurry got ready to go to school.,Was the kid going to his friend's house?,"No
"
C_control_list2,URC5,The frazzled mother who was cut a cake slice sat down and ate it gratefully.,Was the mother exhausted?,"Yes
"
C_control_list2,RRC27,The bearded man shaved two weeks ago liked his stylish new look.,Was the man disappointed with his new look?,"No
"
C_control_list2,filler33,When the driver eventually overtook the last truck he pulled over to the inside lane.,Did the driver overtake all the trucks?,"Yes
"
C_control_list2,filler3,A different kind of fire arose within Andrew as he thought about the new idea.,Was Andrew passionate about the idea?,"Yes
"
C_control_list2,RRC19,The skilled player passed the soccer ball failed to score a goal.,Did the player get a point?,"No
"
C_control_list2,filler60,The businessman strode purposefully into the meeting.,Was the businessman determined?,"Yes
"
C_control_list2,filler10,The sound of music attracted a number of guests to the cafe.,Was the music coming from the cafe?,"Yes
"
C_control_list2,filler9,The married couple arose before dawn in order to prepare for the trip.,Did the couple wake up early?,"Yes
"
C_control_list2,URC34,The energetic kid who was kicked the ball caught it with one hand.,Was the kid lethargic?,"No
"
C_control_list2,URC7,The international student who was left the warm jacket was grateful for it in the winter.,Was the winter cold?,"Yes
"
